origin_postcode,destination_postcode,cost
BS10,BS1,1077.3999999999999
BS10,BS10,0.0
BS10,BS11,763.4999999999999
BS10,BS12,787.4000000000001
BS10,BS13,955.0
BS10,BS14,1477.1999999999998
BS10,BS15,1076.6
BS10,BS16,865.5999999999997
BS10,BS17,953.3999999999996
BS10,BS18,1767.2
BS10,BS19,1929.7000000000003
BS10,BS2,949.6999999999999
BS10,BS20,714.4000000000002
BS10,BS21,1061.2
BS10,BS22,1528.5999999999997
BS10,BS23,1756.9999999999998
BS10,BS24,1678.2
BS10,BS25,1775.2000000000005
BS10,BS26,1976.7
BS10,BS27,1500.8
BS10,BS28,2570.1000000000004
BS10,BS29,1509.7
BS10,BS3,1283.9000000000003
BS10,BS30,1035.1999999999998
BS10,BS31,1496.5999999999995
BS10,BS32,923.2999999999997
BS10,BS34,724.1999999999999
BS10,BS35,936.0999999999997
BS10,BS36,898.5999999999995
BS10,BS37,1120.6999999999996
BS10,BS39,1569.8999999999994
BS10,BS4,1185.4999999999998
BS10,BS40,1732.1000000000004
BS10,BS41,1154.7000000000003
BS10,BS43,1137.8999999999994
BS10,BS48,1165.0
BS10,BS49,1454.7999999999997
BS10,BS5,922.9999999999997
BS10,BS6,864.2999999999997
BS10,BS7,823.8999999999997
BS10,BS73,1355.9999999999998
BS10,BS8,1109.1
BS10,BS9,915.1
BS11,BS1,672.8000000000001
BS11,BS10,682.8000000000001
BS11,BS11,0.0
BS11,BS12,619.5999999999998
BS11,BS13,834.2999999999997
BS11,BS14,1125.7
BS11,BS15,1276.8999999999999
BS11,BS16,1065.8999999999999
BS11,BS17,1019.3999999999997
BS11,BS18,1415.7000000000003
BS11,BS19,2130.000000000001
BS11,BS2,775.0999999999999
BS11,BS20,519.6999999999998
BS11,BS21,866.4999999999997
BS11,BS22,1333.8999999999996
BS11,BS23,1562.2999999999997
BS11,BS24,1483.5
BS11,BS25,1580.5000000000005
BS11,BS26,1782.0
BS11,BS27,1123.3999999999994
BS11,BS28,2375.4
BS11,BS29,1315.0
BS11,BS3,752.6999999999997
BS11,BS30,1235.4999999999998
BS11,BS31,1364.6999999999991
BS11,BS32,1193.1000000000001
BS11,BS34,957.8
BS11,BS35,1294.5
BS11,BS36,1098.8999999999994
BS11,BS37,1426.2999999999997
BS11,BS39,1437.999999999999
BS11,BS4,937.3999999999996
BS11,BS40,1354.6999999999998
BS11,BS41,732.3999999999997
BS11,BS43,774.8999999999997
BS11,BS48,970.2999999999997
BS11,BS49,1260.0999999999997
BS11,BS5,988.9999999999998
BS11,BS6,930.2999999999998
BS11,BS7,983.6
BS11,BS73,1562.4000000000003
BS11,BS8,578.4
BS11,BS9,415.59999999999997
BS12,BS1,473.3
BS12,BS10,447.6999999999999
BS12,BS11,588.5
BS12,BS12,0.0
BS12,BS13,555.8000000000001
BS12,BS14,1078.0
BS12,BS15,724.6
BS12,BS16,513.6000000000001
BS12,BS17,544.9
BS12,BS18,1368.0000000000002
BS12,BS19,1651.1999999999996
BS12,BS2,550.4999999999999
BS12,BS20,764.3000000000003
BS12,BS21,1111.1000000000001
BS12,BS22,1578.4999999999998
BS12,BS23,1806.8999999999999
BS12,BS24,1728.1000000000001
BS12,BS25,1825.1000000000006
BS12,BS26,2026.6000000000001
BS12,BS27,1297.3999999999996
BS12,BS28,2620.0000000000005
BS12,BS29,1559.6000000000001
BS12,BS3,926.6999999999997
BS12,BS30,683.2
BS12,BS31,1144.6000000000001
BS12,BS32,958.1000000000001
BS12,BS34,680.9
BS12,BS35,1059.5
BS12,BS36,546.6000000000001
BS12,BS37,974.0000000000001
BS12,BS39,1217.8999999999999
BS12,BS4,786.2999999999997
BS12,BS40,1528.7
BS12,BS41,906.3999999999997
BS12,BS43,738.6999999999997
BS12,BS48,1214.9
BS12,BS49,1504.7
BS12,BS5,514.5000000000001
BS12,BS6,455.7999999999999
BS12,BS7,379.80000000000007
BS12,BS73,1033.3000000000002
BS12,BS8,621.1999999999999
BS12,BS9,356.70000000000005
BS13,BS1,286.0
BS13,BS10,652.0
BS13,BS11,834.3999999999999
BS13,BS12,585.0999999999999
BS13,BS13,0.0
BS13,BS14,532.4000000000001
BS13,BS15,859.0000000000001
BS13,BS16,648.0
BS13,BS17,435.29999999999995
BS13,BS18,822.4000000000001
BS13,BS19,1780.5
BS13,BS2,133.1
BS13,BS20,939.9000000000004
BS13,BS21,1209.5999999999995
BS13,BS22,1653.1999999999996
BS13,BS23,1987.6000000000004
BS13,BS24,1908.8000000000006
BS13,BS25,1478.8
BS13,BS26,1643.0999999999997
BS13,BS27,845.3999999999997
BS13,BS28,2194.3
BS13,BS29,1636.8999999999999
BS13,BS3,392.0
BS13,BS30,817.6000000000001
BS13,BS31,682.4000000000001
BS13,BS32,1154.1000000000001
BS13,BS34,843.7999999999998
BS13,BS35,1255.5
BS13,BS36,680.9999999999999
BS13,BS37,1108.3999999999992
BS13,BS39,755.7000000000004
BS13,BS4,255.10000000000002
BS13,BS40,1076.6999999999998
BS13,BS41,499.1999999999999
BS13,BS43,193.1
BS13,BS48,808.6000000000001
BS13,BS49,1348.9999999999995
BS13,BS5,279.40000000000003
BS13,BS6,346.19999999999993
BS13,BS7,534.4
BS13,BS73,1167.7
BS13,BS8,406.1000000000001
BS13,BS9,654.2000000000002
BS14,BS1,771.4
BS14,BS10,1137.3999999999999
BS14,BS11,1164.3000000000004
BS14,BS12,1070.5000000000002
BS14,BS13,565.1000000000001
BS14,BS14,0.0
BS14,BS15,1039.5999999999997
BS14,BS16,903.2999999999995
BS14,BS17,920.6999999999997
BS14,BS18,348.0
BS14,BS19,1989.0
BS14,BS2,618.4999999999999
BS14,BS20,1230.7000000000003
BS14,BS21,1507.0
BS14,BS22,1900.3999999999994
BS14,BS23,2278.4000000000005
BS14,BS24,2015.6999999999996
BS14,BS25,1559.1
BS14,BS26,1723.3999999999996
BS14,BS27,925.6999999999998
BS14,BS28,1889.5999999999997
BS14,BS29,1717.1999999999998
BS14,BS3,547.4000000000001
BS14,BS30,1091.3999999999996
BS14,BS31,503.2
BS14,BS32,1639.5
BS14,BS34,1329.2
BS14,BS35,1740.8999999999999
BS14,BS36,1061.4999999999993
BS14,BS37,1488.8999999999987
BS14,BS39,402.30000000000007
BS14,BS4,364.90000000000003
BS14,BS40,1124.7
BS14,BS41,796.6000000000001
BS14,BS43,581.7999999999998
BS14,BS48,1068.8000000000002
BS14,BS49,1596.1999999999994
BS14,BS5,696.7000000000002
BS14,BS6,768.8
BS14,BS7,1019.8000000000002
BS14,BS73,1441.4999999999993
BS14,BS8,822.2000000000003
BS14,BS9,1126.5
BS15,BS1,954.3000000000002
BS15,BS10,767.9000000000002
BS15,BS11,1294.6000000000004
BS15,BS12,739.1000000000003
BS15,BS13,831.9000000000002
BS15,BS14,1050.3000000000006
BS15,BS15,0.0
BS15,BS16,369.8
BS15,BS17,781.9999999999997
BS15,BS18,1184.3000000000002
BS15,BS19,1272.3999999999996
BS15,BS2,826.6000000000001
BS15,BS20,1240.0000000000005
BS15,BS21,1586.7999999999997
BS15,BS22,2054.2000000000003
BS15,BS23,2282.600000000001
BS15,BS24,2203.7999999999997
BS15,BS25,2300.5
BS15,BS26,2464.8
BS15,BS27,1667.0999999999995
BS15,BS28,2866.5000000000005
BS15,BS29,2035.3000000000004
BS15,BS3,1213.6999999999996
BS15,BS30,326.59999999999997
BS15,BS31,860.8
BS15,BS32,1270.0000000000005
BS15,BS34,783.0
BS15,BS35,1371.4000000000003
BS15,BS36,429.10000000000014
BS15,BS37,666.6000000000001
BS15,BS39,955.9000000000001
BS15,BS4,952.6
BS15,BS40,1898.3999999999999
BS15,BS41,1320.9000000000003
BS15,BS43,1014.7999999999998
BS15,BS48,1630.3000000000004
BS15,BS49,1980.3999999999996
BS15,BS5,799.8999999999999
BS15,BS6,741.1999999999999
BS15,BS7,660.0
BS15,BS73,566.0999999999999
BS15,BS8,1099.5999999999997
BS15,BS9,1080.0000000000002
BS16,BS1,711.4999999999999
BS16,BS10,525.0999999999999
BS16,BS11,1051.7999999999997
BS16,BS12,496.29999999999995
BS16,BS13,589.1000000000001
BS16,BS14,940.4000000000003
BS16,BS15,367.7999999999999
BS16,BS16,0.0
BS16,BS17,420.8999999999999
BS16,BS18,1075.8999999999999
BS16,BS19,1532.6999999999994
BS16,BS2,583.8000000000001
BS16,BS20,997.2
BS16,BS21,1343.9999999999993
BS16,BS22,1811.3999999999996
BS16,BS23,2039.7999999999997
BS16,BS24,1961.0
BS16,BS25,2057.6999999999994
BS16,BS26,2222.0
BS16,BS27,1424.2999999999995
BS16,BS28,2756.5999999999995
BS16,BS29,1792.5
BS16,BS3,970.8999999999997
BS16,BS30,326.3999999999999
BS16,BS31,783.4000000000001
BS16,BS32,1027.2
BS16,BS34,658.9
BS16,BS35,1128.6
BS16,BS36,296.50000000000006
BS16,BS37,723.9000000000003
BS16,BS39,856.7000000000004
BS16,BS4,819.5999999999998
BS16,BS40,1655.6
BS16,BS41,1078.0999999999997
BS16,BS43,771.9999999999998
BS16,BS48,1387.4999999999998
BS16,BS49,1737.5999999999992
BS16,BS5,532.4
BS16,BS6,486.79999999999995
BS16,BS7,397.40000000000003
BS16,BS73,676.5000000000001
BS16,BS8,856.7999999999996
BS16,BS9,837.2000000000002
BS17,BS1,507.70000000000016
BS17,BS10,612.8000000000001
BS17,BS11,1015.1000000000003
BS17,BS12,545.9000000000001
BS17,BS13,385.3000000000001
BS17,BS14,907.5000000000003
BS17,BS15,773.6000000000001
BS17,BS16,431.9000000000001
BS17,BS17,0.0
BS17,BS18,1188.6000000000001
BS17,BS19,1741.2999999999997
BS17,BS2,380.0000000000001
BS17,BS20,1084.9000000000003
BS17,BS21,1431.6999999999994
BS17,BS22,1899.0999999999997
BS17,BS23,2127.5
BS17,BS24,2048.7000000000003
BS17,BS25,1853.8999999999992
BS17,BS26,2018.199999999999
BS17,BS27,1220.4999999999993
BS17,BS28,2569.399999999999
BS17,BS29,1880.2
BS17,BS3,767.1
BS17,BS30,758.3000000000001
BS17,BS31,873.1000000000001
BS17,BS32,1114.9
BS17,BS34,804.5999999999999
BS17,BS35,1216.3
BS17,BS36,641.8000000000001
BS17,BS37,1069.1999999999994
BS17,BS39,968.2000000000003
BS17,BS4,610.0
BS17,BS40,1451.7999999999997
BS17,BS41,874.2999999999998
BS17,BS43,568.2000000000002
BS17,BS48,1183.7000000000003
BS17,BS49,1724.0999999999997
BS17,BS5,249.70000000000002
BS17,BS6,191.0
BS17,BS7,445.19999999999993
BS17,BS73,1108.4
BS17,BS8,652.9999999999999
BS17,BS9,719.3000000000003
BS18,BS1,1061.3999999999996
BS18,BS10,1427.3999999999999
BS18,BS11,1454.3000000000006
BS18,BS12,1360.5
BS18,BS13,855.1
BS18,BS14,347.99999999999994
BS18,BS15,1181.6
BS18,BS16,1045.2999999999997
BS18,BS17,1174.8
BS18,BS18,0.0
BS18,BS19,1690.1
BS18,BS2,908.4999999999998
BS18,BS20,1520.7
BS18,BS21,1797.0
BS18,BS22,2158.4000000000005
BS18,BS23,2540.799999999999
BS18,BS24,2220.1999999999994
BS18,BS25,1763.6000000000001
BS18,BS26,1823.5000000000007
BS18,BS27,1130.2000000000003
BS18,BS28,1884.6999999999996
BS18,BS29,1921.7
BS18,BS3,837.3999999999999
BS18,BS30,1233.3999999999999
BS18,BS31,530.9000000000001
BS18,BS32,1929.5
BS18,BS34,1577.1999999999996
BS18,BS35,2030.8999999999999
BS18,BS36,1203.4999999999995
BS18,BS37,1630.899999999999
BS18,BS39,256.6
BS18,BS4,654.9000000000002
BS18,BS40,1131.8000000000004
BS18,BS41,1086.6000000000004
BS18,BS43,871.8000000000001
BS18,BS48,1358.8000000000004
BS18,BS49,1856.4
BS18,BS5,1008.1999999999997
BS18,BS6,1080.2999999999993
BS18,BS7,1309.7999999999997
BS18,BS73,1583.4999999999998
BS18,BS8,1112.2
BS18,BS9,1416.5000000000005
BS19,BS1,1852.3999999999994
BS19,BS10,1591.1
BS19,BS11,2117.8
BS19,BS12,1642.0999999999997
BS19,BS13,1729.9999999999993
BS19,BS14,1999.1000000000004
BS19,BS15,1272.3999999999999
BS19,BS16,1524.3999999999999
BS19,BS17,1728.3999999999999
BS19,BS18,1654.0
BS19,BS19,0.0
BS19,BS2,1724.6999999999994
BS19,BS20,2063.2000000000003
BS19,BS21,2410.0000000000014
BS19,BS22,2877.4000000000005
BS19,BS23,3105.7999999999997
BS19,BS24,3026.9999999999995
BS19,BS25,3123.9999999999986
BS19,BS26,3284.7
BS19,BS27,2565.2000000000007
BS19,BS28,3345.9
BS19,BS29,2858.499999999999
BS19,BS3,2111.7999999999993
BS19,BS30,1464.6999999999994
BS19,BS31,1737.2999999999995
BS19,BS32,2093.2000000000003
BS19,BS34,1836.3999999999999
BS19,BS35,2194.600000000001
BS19,BS36,1666.2999999999995
BS19,BS37,1550.199999999999
BS19,BS39,1633.8
BS19,BS4,1901.3999999999996
BS19,BS40,2592.9999999999995
BS19,BS41,2219.0
BS19,BS43,1912.8999999999987
BS19,BS48,2513.800000000001
BS19,BS49,2803.6
BS19,BS5,1697.9999999999993
BS19,BS6,1639.3
BS19,BS7,1598.9
BS19,BS73,1367.6999999999998
BS19,BS8,1997.6999999999991
BS19,BS9,1982.9999999999993
BS20,BS1,885.8000000000001
BS20,BS10,621.8
BS20,BS11,465.59999999999997
BS20,BS12,763.8999999999997
BS20,BS13,954.1999999999998
BS20,BS14,1206.0000000000005
BS20,BS15,1215.8999999999999
BS20,BS16,1004.8999999999996
BS20,BS17,1092.6999999999996
BS20,BS18,1496.0000000000007
BS20,BS19,2069.0000000000005
BS20,BS2,893.0999999999997
BS20,BS20,0.0
BS20,BS21,574.1999999999999
BS20,BS22,1041.6
BS20,BS23,1269.9999999999998
BS20,BS24,1191.2000000000003
BS20,BS25,1288.2000000000003
BS20,BS26,1489.6999999999998
BS20,BS27,1008.6999999999999
BS20,BS28,2083.0999999999995
BS20,BS29,1022.7000000000003
BS20,BS3,832.9999999999999
BS20,BS30,1174.4999999999998
BS20,BS31,1484.5999999999992
BS20,BS32,1132.1000000000001
BS20,BS34,896.8
BS20,BS35,1233.5
BS20,BS36,1037.8999999999994
BS20,BS37,1365.2999999999997
BS20,BS39,1550.3000000000002
BS20,BS4,1057.2999999999997
BS20,BS40,1240.0000000000002
BS20,BS41,662.5999999999998
BS20,BS43,894.7999999999998
BS20,BS48,672.9
BS20,BS49,967.8000000000002
BS20,BS5,1062.2999999999993
BS20,BS6,1003.5999999999997
BS20,BS7,963.1999999999997
BS20,BS73,1501.4000000000003
BS20,BS8,617.0000000000001
BS20,BS9,710.6
BS21,BS1,1228.9
BS21,BS10,961.0000000000001
BS21,BS11,804.7999999999998
BS21,BS12,1103.1000000000001
BS21,BS13,1223.8999999999994
BS21,BS14,1490.8
BS21,BS15,1555.1000000000001
BS21,BS16,1344.1
BS21,BS17,1431.9
BS21,BS18,1780.8000000000002
BS21,BS19,2408.2000000000025
BS21,BS2,1234.2999999999995
BS21,BS20,535.6
BS21,BS21,0.0
BS21,BS22,710.8
BS21,BS23,939.2
BS21,BS24,860.4000000000001
BS21,BS25,957.4000000000002
BS21,BS26,1158.8999999999999
BS21,BS27,1148.5999999999997
BS21,BS28,1752.2999999999995
BS21,BS29,691.9000000000001
BS21,BS3,1094.3
BS21,BS30,1513.7
BS21,BS31,1754.2999999999993
BS21,BS32,1471.3000000000002
BS21,BS34,1236.0000000000002
BS21,BS35,1572.7
BS21,BS36,1377.1
BS21,BS37,1704.5
BS21,BS39,1827.5999999999992
BS21,BS4,1326.9999999999998
BS21,BS40,1434.8
BS21,BS41,884.3999999999997
BS21,BS43,1164.4999999999995
BS21,BS48,644.1999999999997
BS21,BS49,552.7
BS21,BS5,1401.4999999999995
BS21,BS6,1342.8000000000002
BS21,BS7,1302.4000000000003
BS21,BS73,1840.6000000000004
BS21,BS8,960.1000000000003
BS21,BS9,1049.8000000000002
BS22,BS1,1728.4999999999989
BS22,BS10,1460.6000000000001
BS22,BS11,1304.4
BS22,BS12,1602.7000000000003
BS22,BS13,1673.6000000000008
BS22,BS14,1898.7000000000005
BS22,BS15,2054.7
BS22,BS16,1843.6999999999998
BS22,BS17,1931.5
BS22,BS18,2158.6000000000004
BS22,BS19,2907.800000000002
BS22,BS2,1684.000000000001
BS22,BS20,1035.2
BS22,BS21,716.3999999999999
BS22,BS22,0.0
BS22,BS23,814.0999999999999
BS22,BS24,700.7
BS22,BS25,557.0999999999999
BS22,BS26,758.6
BS22,BS27,1028.2000000000003
BS22,BS28,1351.9999999999998
BS22,BS29,417.0
BS22,BS3,1438.2
BS22,BS30,2013.3
BS22,BS31,2200.5999999999995
BS22,BS32,1970.9
BS22,BS34,1735.6000000000001
BS22,BS35,2072.3
BS22,BS36,1876.6999999999998
BS22,BS37,2204.0999999999995
BS22,BS39,2243.0000000000005
BS22,BS4,1776.7000000000012
BS22,BS40,1304.4000000000005
BS22,BS41,1345.0
BS22,BS43,1614.200000000001
BS22,BS48,997.0
BS22,BS49,597.0999999999999
BS22,BS5,1901.0999999999995
BS22,BS6,1842.4
BS22,BS7,1802.0000000000002
BS22,BS73,2340.1999999999994
BS22,BS8,1459.6999999999994
BS22,BS9,1549.4000000000005
BS23,BS1,1958.699999999999
BS23,BS10,1690.8000000000002
BS23,BS11,1534.6000000000001
BS23,BS12,1832.9000000000003
BS23,BS13,2027.1000000000006
BS23,BS14,2278.8999999999996
BS23,BS15,2284.9
BS23,BS16,2073.8999999999996
BS23,BS17,2161.7000000000003
BS23,BS18,2547.2999999999997
BS23,BS19,3138.0000000000027
BS23,BS2,1965.9999999999995
BS23,BS20,1265.4000000000003
BS23,BS21,946.5999999999998
BS23,BS22,847.8999999999999
BS23,BS23,0.0
BS23,BS24,535.5999999999998
BS23,BS25,931.9000000000001
BS23,BS26,1133.3999999999999
BS23,BS27,1416.8999999999994
BS23,BS28,1630.5999999999997
BS23,BS29,625.4000000000001
BS23,BS3,1882.9999999999993
BS23,BS30,2243.5
BS23,BS31,2557.500000000001
BS23,BS32,2201.1000000000004
BS23,BS34,1965.8000000000002
BS23,BS35,2302.500000000001
BS23,BS36,2106.8999999999996
BS23,BS37,2434.299999999999
BS23,BS39,2623.2
BS23,BS4,2130.2000000000003
BS23,BS40,1681.0
BS23,BS41,1735.5000000000002
BS23,BS43,1967.7000000000007
BS23,BS48,1446.6999999999996
BS23,BS49,1046.7999999999997
BS23,BS5,2131.3
BS23,BS6,2072.6
BS23,BS7,2032.2000000000003
BS23,BS73,2570.3999999999996
BS23,BS8,1689.8999999999994
BS23,BS9,1779.6000000000006
BS24,BS1,1861.899999999999
BS24,BS10,1594.0000000000002
BS24,BS11,1437.8000000000002
BS24,BS12,1736.1000000000004
BS24,BS13,1930.3000000000006
BS24,BS14,2016.5999999999997
BS24,BS15,2188.1
BS24,BS16,1977.1
BS24,BS17,2064.9
BS24,BS18,2220.3999999999996
BS24,BS19,3041.2000000000025
BS24,BS2,1869.1999999999996
BS24,BS20,1168.6000000000004
BS24,BS21,849.7999999999998
BS24,BS22,700.6999999999999
BS24,BS23,530.3000000000002
BS24,BS24,0.0
BS24,BS25,605.0
BS24,BS26,806.4999999999999
BS24,BS27,1089.9999999999993
BS24,BS28,1399.8999999999994
BS24,BS29,298.50000000000006
BS24,BS3,1556.0999999999992
BS24,BS30,2146.7
BS24,BS31,2318.4999999999986
BS24,BS32,2104.3
BS24,BS34,1869.0000000000002
BS24,BS35,2205.7000000000007
BS24,BS36,2010.1
BS24,BS37,2337.499999999999
BS24,BS39,2317.599999999999
BS24,BS4,1964.2999999999995
BS24,BS40,1354.1
BS24,BS41,1638.7000000000003
BS24,BS43,1835.699999999998
BS24,BS48,1349.9
BS24,BS49,949.9999999999999
BS24,BS5,2034.4999999999995
BS24,BS6,1975.8000000000002
BS24,BS7,1935.4000000000003
BS24,BS73,2473.5999999999995
BS24,BS8,1593.0999999999995
BS24,BS9,1682.8000000000006
BS25,BS1,1640.3000000000004
BS25,BS10,1693.5000000000002
BS25,BS11,1537.3000000000002
BS25,BS12,1835.6000000000004
BS25,BS13,1536.8
BS25,BS14,1560.0000000000005
BS25,BS15,2287.6000000000004
BS25,BS16,2076.6
BS25,BS17,1892.3999999999996
BS25,BS18,1763.8000000000009
BS25,BS19,3140.7000000000025
BS25,BS2,1558.4000000000008
BS25,BS20,1268.1000000000004
BS25,BS21,949.2999999999998
BS25,BS22,557.1
BS25,BS23,925.6000000000004
BS25,BS24,605.0000000000002
BS25,BS25,0.0
BS25,BS26,400.1000000000001
BS25,BS27,633.4000000000001
BS25,BS28,993.5
BS25,BS29,306.5
BS25,BS3,1099.5000000000002
BS25,BS30,2246.2000000000003
BS25,BS31,1861.8999999999996
BS25,BS32,2203.8
BS25,BS34,1968.5000000000002
BS25,BS35,2305.2000000000007
BS25,BS36,2109.6
BS25,BS37,2436.9999999999986
BS25,BS39,1861.0
BS25,BS4,1507.7000000000005
BS25,BS40,897.5000000000002
BS25,BS41,1237.2000000000003
BS25,BS43,1379.099999999999
BS25,BS48,1090.8000000000002
BS25,BS49,690.9
BS25,BS5,1772.7999999999997
BS25,BS6,1803.2999999999997
BS25,BS7,1991.4999999999998
BS25,BS73,2573.0999999999995
BS25,BS8,1413.5000000000007
BS25,BS9,1717.8000000000004
BS26,BS1,1804.7000000000003
BS26,BS10,1895.1
BS26,BS11,1738.8999999999999
BS26,BS12,2037.2
BS26,BS13,1701.1999999999996
BS26,BS14,1724.4000000000003
BS26,BS15,2475.2000000000003
BS26,BS16,2269.4999999999995
BS26,BS17,2056.7999999999993
BS26,BS18,1813.1
BS26,BS19,3284.1000000000017
BS26,BS2,1722.8000000000006
BS26,BS20,1469.7
BS26,BS21,1150.8999999999996
BS26,BS22,758.7
BS26,BS23,1127.2
BS26,BS24,806.6
BS26,BS25,400.19999999999993
BS26,BS26,0.0
BS26,BS27,797.7999999999998
BS26,BS28,642.1000000000001
BS26,BS29,508.1000000000001
BS26,BS3,1263.8999999999999
BS26,BS30,2439.0999999999995
BS26,BS31,2026.2999999999993
BS26,BS32,2405.399999999999
BS26,BS34,2170.1000000000004
BS26,BS35,2506.7999999999997
BS26,BS36,2302.5000000000005
BS26,BS37,2638.599999999999
BS26,BS39,1991.6999999999998
BS26,BS4,1672.1000000000001
BS26,BS40,1061.8999999999999
BS26,BS41,1401.6000000000001
BS26,BS43,1543.4999999999986
BS26,BS48,1318.1
BS26,BS49,963.5999999999997
BS26,BS5,1937.1999999999994
BS26,BS6,1967.6999999999994
BS26,BS7,2155.899999999999
BS26,BS73,2774.6999999999994
BS26,BS8,1577.9000000000005
